Timestamp,IsMotorToTCU,ID,IsExtended,IsRemote,Length,D1,D2,D3,D4,D5,D6,D7,D8
44492,0,300,0,0,8,0,5a,64,5a,0,0,a,1f
44493,0,301,0,0,3,e8,f,0
44533,1,401,0,0,8,64,a0,0,0,50,0,0,0
44542,0,300,0,0,8,0,5a,64,5a,0,0,a,e0
44543,0,301,0,0,3,e2,0,0
44546,1,201,0,0,6,0,0,ac,3,2,0
44553,1,400,0,0,8,1,0,4c,0,0,0,0,0
44558,1,203,0,0,8,75,1,20,4a,5,0,0,0
44592,0,300,0,0,8,0,5a,64,5a,0,0,a,f1
44593,0,301,0,0,3,b3,1,0
44633,1,401,0,0,8,64,a0,0,0,50,0,0,0
44642,0,300,0,0,8,0,5a,64,5a,0,0,a,c2
44643,0,301,0,0,3,6b,2,0
44646,1,201,0,0,6,0,0,98,3,2,0
44653,1,400,0,0,8,1,0,4c,0,0,0,0,0
44658,1,203,0,0,8,a3,1,48,76,5,0,0,0
44693,0,300,0,0,8,0,5a,64,5a,0,0,a,d3
44693,0,301,0,0,3,96,3,0
44733,1,401,0,0,8,64,a0,0,0,50,0,0,0
44743,0,300,0,0,8,0,5a,64,5a,0,0,a,a4
44743,0,301,0,0,3,3,4,0
44746,1,201,0,0,6,0,0,98,3,2,0
44753,1,400,0,0,8,1,0,4c,0,0,0,0,0
44758,1,203,0,0,8,0,2,0,bf,6,0,0,0
44793,0,300,0,0,8,0,5a,64,5a,0,0,a,b5
44793,0,301,0,0,3,54,5,0
44833,1,401,0,0,8,64,a0,0,0,50,0,0,0
44843,0,300,0,0,8,0,5a,64,5a,0,0,a,86
44843,0,301,0,0,3,f5,6,0
44846,1,201,0,0,6,0,0,c,3,2,0
44853,1,400,0,0,8,1,0,4c,0,0,0,0,0
44858,1,203,0,0,8,54,2,2c,d0,6,0,0,0
44893,0,300,0,0,8,0,5a,64,5a,0,0,a,97
44893,0,301,0,0,3,b8,7,0
44913,1,402,0,0,8,64,0,0,0,8,df,9,0
44933,1,401,0,0,8,64,a0,0,0,50,0,0,0
44943,0,300,0,0,8,0,5a,64,5a,0,0,a,68
44943,0,301,0,0,3,80,8,0
44946,1,201,0,0,6,0,0,44,2,2,0
44953,1,400,0,0,8,1,0,4c,0,0,0,0,0
44958,1,203,0,0,8,79,2,f0,f0,5,0,0,0
44970,1,204,0,0,8,0,0,0,0,0,0,0,0
44982,1,202,0,0,8,e2,15,0,0,9,fe,1a,0
44993,0,300,0,0,8,0,5a,64,5a,0,0,a,79
44993,0,301,0,0,3,88,9,0
44994,1,666,0,0,8,52,8,1,5,52,57,12,44
45006,1,665,0,0,8,0,0,0,53,4c,18,53,0
45018,1,200,0,0,8,64,0,8,df,9,0,2,0
45033,1,401,0,0,8,62,a0,0,0,50,0,0,0
45043,0,300,0,0,8,0,5a,64,5a,0,0,a,4a
45043,0,301,0,0,3,c6,a,0
45046,1,201,0,0,6,0,0,ea,1,2,0
45053,1,400,0,0,8,1,0,4c,0,0,0,0,0
45058,1,203,0,0,8,b8,2,3c,2a,5,0,0,0
45093,0,300,0,0,8,0,5a,64,5a,0,0,a,5b
45093,0,301,0,0,3,43,b,0
45133,1,401,0,0,8,62,a0,0,0,50,0,0,0
45143,0,300,0,0,8,0,5a,64,5a,0,0,a,2c
45143,0,301,0,0,3,b5,c,0
45146,1,201,0,0,6,0,0,9a,1,2,0
45153,1,400,0,0,8,1,0,4c,0,0,0,0,0
45158,1,203,0,0,8,d1,2,f0,b6,4,0,0,0
45193,0,300,0,0,8,0,5a,64,5a,0,0,a,3d
45193,0,301,0,0,3,4e,d,0
45234,1,401,0,0,8,62,a0,0,0,50,0,0,0
45243,0,300,0,0,8,0,5a,64,5a,0,0,a,e
45243,0,301,0,0,3,1d,e,0
45246,1,201,0,0,6,0,0,22,1,2,0
45254,1,400,0,0,8,1,0,4c,0,0,0,0,0
45258,1,203,0,0,8,f7,2,b0,55,3,0,0,0
45293,0,300,0,0,8,0,5a,64,5a,0,0,a,1f
45293,0,301,0,0,3,e8,f,0
45334,1,401,0,0,8,62,a0,0,0,50,0,0,0
45343,0,300,0,0,8,0,5a,64,5a,0,0,a,e0
45343,0,301,0,0,3,e2,0,0
45346,1,201,0,0,6,0,0,2c,1,2,0
45354,1,400,0,0,8,1,0,4c,0,0,0,0,0
45358,1,203,0,0,8,4,3,e0,11,2,0,0,0
45393,0,300,0,0,8,0,5a,64,5a,0,0,a,f1
45393,0,301,0,0,3,b3,1,0
45414,1,403,0,0,8,63,0,0,0,20,e2,9,0
45434,1,401,0,0,8,62,a0,0,0,50,0,0,0
45443,0,300,0,0,8,0,5a,64,5a,0,0,a,c2
45443,0,301,0,0,3,6b,2,0
45446,1,201,0,0,6,0,0,72,1,2,0
45454,1,400,0,0,8,1,0,4c,0,0,0,0,0
45458,1,203,0,0,8,c,3,0,0,0,0,0,0
45493,0,300,0,0,8,0,5a,64,5a,0,0,a,d3
45493,0,301,0,0,3,96,3,0
45534,1,401,0,0,8,64,a0,0,0,50,0,0,0
45543,0,300,0,0,8,0,5a,64,5a,0,0,a,a4
45543,0,301,0,0,3,3,4,0
45546,1,201,0,0,6,0,0,f4,1,2,0
45554,1,400,0,0,8,1,0,4c,0,0,0,0,0
45558,1,203,0,0,8,10,3,18,ba,6,0,0,0
45593,0,300,0,0,8,0,5a,64,5a,0,0,a,b5
45593,0,301,0,0,3,54,5,0
45634,1,401,0,0,8,64,a0,0,0,50,0,0,0
45643,0,300,0,0,8,0,5a,64,5a,0,0,a,86
45643,0,301,0,0,3,f5,6,0
45646,1,201,0,0,6,0,0,16,3,2,0
45654,1,400,0,0,8,1,0,4c,0,0,0,0,0
45658,1,203,0,0,8,18,3,5c,d7,9,0,0,0
45693,0,300,0,0,8,0,5a,64,5a,0,0,a,97
45693,0,301,0,0,3,b8,7,0
45734,1,401,0,0,8,64,a0,0,0,50,0,0,0
45743,0,300,0,0,8,0,5a,64,5a,0,0,a,68
45743,0,301,0,0,3,80,8,0
45746,1,201,0,0,6,32,0,b6,3,2,0
45754,1,400,0,0,8,1,0,4c,0,0,0,0,0
45758,1,203,0,0,8,1c,3,64,15,c,0,0,0
45793,0,300,0,0,8,0,5a,64,5a,0,0,a,79
45793,0,301,0,0,3,88,9,0
45834,1,401,0,0,8,62,a0,0,0,50,0,0,0
45843,0,300,0,0,8,0,5a,64,5a,0,0,a,4a
45843,0,301,0,0,3,c6,a,0
45846,1,201,0,0,6,32,0,42,4,2,0
45854,1,400,0,0,8,1,0,4c,0,0,0,0,0
45858,1,203,0,0,8,21,3,d8,b4,c,0,0,0
45893,0,300,0,0,8,0,5a,64,5a,0,0,a,5b
45893,0,301,0,0,3,43,b,0
45914,1,402,0,0,8,64,0,0,0,8,df,9,0
45934,1,401,0,0,8,62,a0,0,0,50,0,0,0
45943,0,300,0,0,8,0,5a,64,5a,0,0,a,2c
45943,0,301,0,0,3,b5,c,0
45946,1,201,0,0,6,32,0,6a,4,2,0
45954,1,400,0,0,8,1,0,4c,0,0,0,0,0
45958,1,203,0,0,8,38,3,a4,13,e,0,0,0
45970,1,204,0,0,8,0,0,0,0,0,0,0,0
45982,1,202,0,0,8,e2,17,0,0,b,fe,1a,0
45993,0,300,0,0,8,0,5a,64,5a,0,0,a,3d
45993,0,301,0,0,3,4e,d,0
46034,1,401,0,0,8,64,a0,0,0,51,0,0,0
46043,0,300,0,0,8,0,5a,64,5a,0,0,a,e
46043,0,301,0,0,3,1d,e,0
46046,1,201,0,0,6,32,0,24,4,2,0
46055,1,400,0,0,8,1,0,4c,0,0,0,0,0
46058,1,203,0,0,8,48,3,c8,5a,e,0,0,0
46093,0,300,0,0,8,0,5a,64,5a,0,0,a,1f
46093,0,301,0,0,3,e8,f,0
46107,0,404,0,0,2,4a,0
46108,1,405,0,0,8,4a,0,0,0,1c,0,0,0
46135,1,401,0,0,8,64,a0,0,0,51,0,0,0
46137,0,404,0,0,2,2,30
46138,1,405,0,0,7,2,30,0,3,0,0,0
46143,0,300,0,0,8,0,5a,64,5a,0,0,a,e0
46143,0,301,0,0,3,e2,0,0
46146,1,201,0,0,6,32,0,52,3,2,0
46155,1,400,0,0,8,1,0,4c,0,0,0,0,0
46159,1,203,0,0,8,6f,3,f8,79,c,0,0,0
46167,0,404,0,0,2,44,0
46168,1,405,0,0,6,44,0,0,0,48,46
46193,0,300,0,0,8,0,5a,64,5a,0,0,a,f1
46193,0,301,0,0,3,b3,1,0
46197,0,404,0,0,2,1,0
46198,1,405,0,0,8,1,0,0,0,0,4,6,4
46227,0,404,0,0,2,a3,1
46228,1,405,0,0,5,a3,1,0,0,6
46235,1,401,0,0,8,64,a0,0,0,51,0,0,0
46243,0,300,0,0,8,0,5a,64,5a,0,0,a,c2
46243,0,301,0,0,3,6b,2,0
46246,1,201,0,0,6,32,0,c,3,2,0
46255,1,400,0,0,8,1,0,4c,0,0,0,0,0
46257,0,404,0,0,2,20,0
46258,1,405,0,0,8,20,0,0,0,32,31,31,46
46259,1,203,0,0,8,83,3,e0,44,b,0,0,0
46287,0,404,0,0,2,21,0
46288,1,405,0,0,8,21,0,0,0,46,56,41,31
46293,0,300,0,0,8,0,5a,64,5a,0,0,a,d3
46293,0,301,0,0,3,96,3,0
46317,0,404,0,0,2,22,0
46318,1,405,0,0,8,22,0,0,0,30,30,31,32
46335,1,401,0,0,8,64,a0,0,0,51,0,0,0
46343,0,300,0,0,8,0,5a,64,5a,0,0,a,a4
46343,0,301,0,0,3,3,4,0
46346,1,201,0,0,6,32,0,da,2,2,0
46347,0,404,0,0,2,23,0
46348,1,405,0,0,8,23,0,0,0,38,30,30,30
46355,1,400,0,0,8,1,0,4c,0,0,0,0,0
46359,1,203,0,0,8,ad,3,94,34,a,0,0,0
46377,0,404,0,0,2,24,0
46378,1,405,0,0,8,24,0,0,0,30,30,30,30
46393,0,300,0,0,8,0,5a,64,5a,0,0,a,b5
46393,0,301,0,0,3,54,5,0
46407,0,404,0,0,2,25,0
46408,1,405,0,0,8,25,0,0,0,30,30,30,30
46415,1,403,0,0,8,63,0,0,0,20,e2,9,0
46435,1,401,0,0,8,64,a0,0,0,51,0,0,0
46438,0,404,0,0,2,26,0
46439,1,405,0,0,8,26,0,0,0,30,30,30,30
46443,0,300,0,0,8,0,5a,64,5a,0,0,a,86
46443,0,301,0,0,3,f5,6,0
46446,1,201,0,0,6,1a,4,6c,2,2,0
46455,1,400,0,0,8,1,0,4c,0,0,0,0,0
46459,1,203,0,0,8,cd,3,40,5a,9,0,0,0
46467,0,404,0,0,2,27,0
46468,1,405,0,0,6,27,0,0,0,30,30
46493,0,300,0,0,8,0,5a,64,5a,0,0,a,97
46493,0,301,0,0,3,b8,7,0
46497,0,404,0,0,2,4c,0
46498,1,405,0,0,8,4c,0,0,0,11,24,0,0
46527,0,404,0,0,2,46,0
46528,1,405,0,0,5,46,0,0,0,0
46535,1,401,0,0,8,62,a0,0,0,50,0,0,0
46543,0,300,0,0,8,0,5a,64,5a,0,0,a,68
46543,0,301,0,0,3,80,8,0
46546,1,201,0,0,6,1a,4,3a,2,2,0
46555,1,400,0,0,8,1,0,4c,0,0,0,0,0
46557,0,404,0,0,2,4d,0
46558,1,405,0,0,8,4d,0,0,0,0,0,0,0
46559,1,203,0,0,8,dc,3,0,33,9,0,0,0
46587,0,404,0,0,2,50,0
46588,1,405,0,0,8,50,0,0,0,9e,0,a0,0
46593,0,300,0,0,8,0,5a,64,5a,0,0,a,79
46593,0,301,0,0,3,88,9,0
46617,0,404,0,0,2,2,0
46618,1,405,0,0,8,2,0,0,0,53,49,43,54
46635,1,401,0,0,8,62,a0,0,0,50,0,0,0
46643,0,300,0,0,8,0,5a,64,5a,0,0,a,4a
46643,0,301,0,0,3,c6,a,0
46646,1,201,0,0,6,1a,4,12,2,2,0
46655,1,400,0,0,8,1,0,4c,0,0,0,0,0
46659,1,203,0,0,8,f0,3,40,20,8,0,0,0
46693,0,300,0,0,8,0,5a,64,5a,0,0,a,5b
